tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn_Probability,Risk_Category,Retention_Recommendation
15,89.0,1288.3,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,73.55,73.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,75.4,1189.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,79.4,205.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,81.15,952.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,75.1,1212.85,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,84.6,360.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,83.25,308.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,79.05,434.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,74.4,215.8,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,75.6,535.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,100.3,832.35,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,96.0,174.8,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,90.55,90.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,69.9,69.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,75.25,888.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,86.6,86.6,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,94.3,424.45,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,95.35,660.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,69.55,284.9,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,68.95,119.75,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,95.9,827.45,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,84.7,392.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,100.6,819.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,88.3,273.75,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,92.1,729.95,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
14,90.45,1266.1,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
14,70.2,1046.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,80.0,412.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,84.7,832.05,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,89.55,185.55,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,69.75,144.55,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,98.05,713.0,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,69.55,200.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,80.95,171.15,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,74.3,940.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,89.7,1047.7,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
17,100.45,1622.45,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,74.75,1129.35,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,80.55,80.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,79.75,769.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,94.4,387.2,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,74.65,544.55,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,104.05,1133.65,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,75.2,775.3,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,95.15,196.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,96.65,1162.85,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,80.4,224.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
12,89.75,1052.4,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,80.0,1029.35,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,109.9,669.45,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,101.35,1553.95,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,85.7,256.75,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,90.45,593.45,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
17,78.9,1348.95,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,74.9,74.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,70.15,194.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,80.25,80.25,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
17,69.0,1149.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,69.55,521.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,80.3,250.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,75.9,143.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,76.95,228.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,96.15,1529.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,90.15,987.95,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,75.8,75.8,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,79.3,523.15,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,80.15,194.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,80.25,303.7,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,89.5,676.7,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,75.0,632.95,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,75.6,402.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,85.6,1345.55,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,86.6,1281.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,69.25,69.25,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,75.35,1114.55,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
14,87.25,1258.6,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,79.95,857.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,75.2,633.85,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,70.15,735.5,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,94.75,889.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,95.05,1290.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,78.45,330.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,70.2,237.95,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,85.6,813.85,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
